title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/kostas-python/to-do-app.git;1.png
Job Application Form;Job Application Form made with Flask.;https://github.com/kostas-python/app-16-flask-form.git;23.jpg
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/kostas-python/app4-PDF-invoices.git;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/kostas-python/app5-invoices-excel.git;4.png
Daily News;Get The Daily News To Your Email With This App.;https://github.com/kostas-python/Daily-news-request.git;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/kostas-python/app6-weather-flask.git;6.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/kostas-python/app10_Scraping-sql.git;8.png
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://github.com/kostas-python/app15-chatbox-gpt.git;9.png
Super Mario Bros;Forked For Code Inspection (OOP) Using The Mario Game App.;https://github.com/kostas-python/super-mario-python.git;mario.jpg
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/kostas-python/app9-webcam.git;11.png
Book;Natural Language Processing Of Books.;https://github.com/kostas-python/app8-book.git;12.png
Job Application Form;Job Application Form made with Django.;https://github.com/kostas-python/app17-django-form.git;22.jpg
Visualizing Weather Forecast (API);A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/kostas-python/app7-weather-forecast.git;16.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/kostas-python/app14-student-management-system-mysql.git;17.png
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://github.com/kostas-python/app13-student-management-system.git;18.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/kostas-python/app-18_restaurant_menu.git;19.png
Hotel Booking App;A Hotel booking app in OOP style.;https://github.com/kostas-python/app11-hotel-booking.git;24.jpg